cname,ccodealp_year_2,ccode,cname2,year,wbgi_cce,ti_cpi
Afghanistan,AFG1960,4,Afghanistan,1960,,
Afghanistan,AFG1961,4,Afghanistan,1961,,
Afghanistan,AFG1962,4,Afghanistan,1962,,
Afghanistan,AFG1963,4,Afghanistan,1963,,
Afghanistan,AFG1964,4,Afghanistan,1964,,
Afghanistan,AFG1965,4,Afghanistan,1965,,
Afghanistan,AFG1966,4,Afghanistan,1966,,
Afghanistan,AFG1967,4,Afghanistan,1967,,
Afghanistan,AFG1968,4,Afghanistan,1968,,
Afghanistan,AFG1969,4,Afghanistan,1969,,
Afghanistan,AFG1970,4,Afghanistan,1970,,
Afghanistan,AFG1971,4,Afghanistan,1971,,
Afghanistan,AFG1972,4,Afghanistan,1972,,
Afghanistan,AFG1973,4,Afghanistan,1973,,
Afghanistan,AFG1974,4,Afghanistan,1974,,
Afghanistan,AFG1975,4,Afghanistan,1975,,
Afghanistan,AFG1976,4,Afghanistan,1976,,
Afghanistan,AFG1977,4,Afghanistan,1977,,
Afghanistan,AFG1978,4,Afghanistan,1978,,
Afghanistan,AFG1979,4,Afghanistan,1979,,
Afghanistan,AFG1980,4,Afghanistan,1980,,
Afghanistan,AFG1981,4,Afghanistan,1981,,
Afghanistan,AFG1982,4,Afghanistan,1982,,
Afghanistan,AFG1983,4,Afghanistan,1983,,
Afghanistan,AFG1984,4,Afghanistan,1984,,
Afghanistan,AFG1985,4,Afghanistan,1985,,
Afghanistan,AFG1986,4,Afghanistan,1986,,
Afghanistan,AFG1987,4,Afghanistan,1987,,
Afghanistan,AFG1988,4,Afghanistan,1988,,
Afghanistan,AFG1989,4,Afghanistan,1989,,
Afghanistan,AFG1990,4,Afghanistan,1990,,
Afghanistan,AFG1991,4,Afghanistan,1991,,
Afghanistan,AFG1992,4,Afghanistan,1992,,
Afghanistan,AFG1993,4,Afghanistan,1993,,
Afghanistan,AFG1994,4,Afghanistan,1994,,
Afghanistan,AFG1995,4,Afghanistan,1995,,
Afghanistan,AFG1996,4,Afghanistan,1996,-1.8468397,
Afghanistan,AFG1997,4,Afghanistan,1997,,
Afghanistan,AFG1998,4,Afghanistan,1998,-1.8362646,
Afghanistan,AFG1999,4,Afghanistan,1999,,
Afghanistan,AFG2000,4,Afghanistan,2000,-1.9137733,
Afghanistan,AFG2001,4,Afghanistan,2001,,
Afghanistan,AFG2002,4,Afghanistan,2002,-1.4263996,
Afghanistan,AFG2003,4,Afghanistan,2003,-1.5468524,
Afghanistan,AFG2004,4,Afghanistan,2004,-1.4242998,
Afghanistan,AFG2005,4,Afghanistan,2005,-1.4642575,2.5
Afghanistan,AFG2006,4,Afghanistan,2006,-1.4445164,
Afghanistan,AFG2007,4,Afghanistan,2007,-1.5905142,1.8
Afghanistan,AFG2008,4,Afghanistan,2008,-1.6371688,1.5
Afghanistan,AFG2009,4,Afghanistan,2009,-1.5132792,1.3
Afghanistan,AFG2010,4,Afghanistan,2010,-1.6244657,1.4
Afghanistan,AFG2011,4,Afghanistan,2011,-1.5490125,1.5170929
Afghanistan,AFG2012,4,Afghanistan,2012,-1.4064268,0.80000001
Afghanistan,AFG2013,4,Afghanistan,2013,,0.80000001
Afghanistan,AFG2014,4,Afghanistan,2014,,
Albania,ALB1960,8,Albania,1960,,
Albania,ALB1961,8,Albania,1961,,
Albania,ALB1962,8,Albania,1962,,
Albania,ALB1963,8,Albania,1963,,
Albania,ALB1964,8,Albania,1964,,
Albania,ALB1965,8,Albania,1965,,
Albania,ALB1966,8,Albania,1966,,
Albania,ALB1967,8,Albania,1967,,
Albania,ALB1968,8,Albania,1968,,
Albania,ALB1969,8,Albania,1969,,
Albania,ALB1970,8,Albania,1970,,
Albania,ALB1971,8,Albania,1971,,
Albania,ALB1972,8,Albania,1972,,
Albania,ALB1973,8,Albania,1973,,
Albania,ALB1974,8,Albania,1974,,
Albania,ALB1975,8,Albania,1975,,
Albania,ALB1976,8,Albania,1976,,
Albania,ALB1977,8,Albania,1977,,
Albania,ALB1978,8,Albania,1978,,
Albania,ALB1979,8,Albania,1979,,
Albania,ALB1980,8,Albania,1980,,
Albania,ALB1981,8,Albania,1981,,
Albania,ALB1982,8,Albania,1982,,
Albania,ALB1983,8,Albania,1983,,
Albania,ALB1984,8,Albania,1984,,
Albania,ALB1985,8,Albania,1985,,
Albania,ALB1986,8,Albania,1986,,
Albania,ALB1987,8,Albania,1987,,
Albania,ALB1988,8,Albania,1988,,
Albania,ALB1989,8,Albania,1989,,
Albania,ALB1990,8,Albania,1990,,
Albania,ALB1991,8,Albania,1991,,
Albania,ALB1992,8,Albania,1992,,
Albania,ALB1993,8,Albania,1993,,
Albania,ALB1994,8,Albania,1994,,
Albania,ALB1995,8,Albania,1995,,
Albania,ALB1996,8,Albania,1996,-1.0909804,
Albania,ALB1997,8,Albania,1997,,
Albania,ALB1998,8,Albania,1998,-1.0085912,
Albania,ALB1999,8,Albania,1999,,2.3
Albania,ALB2000,8,Albania,2000,-0.82448232,
Albania,ALB2001,8,Albania,2001,,
Albania,ALB2002,8,Albania,2002,-0.8567751,2.5
Albania,ALB2003,8,Albania,2003,-0.76875007,2.5
Albania,ALB2004,8,Albania,2004,-0.67165804,2.5
Albania,ALB2005,8,Albania,2005,-0.74666435,2.4000001
Albania,ALB2006,8,Albania,2006,-0.80598044,2.5999999
Albania,ALB2007,8,Albania,2007,-0.65916407,2.9000001
Albania,ALB2008,8,Albania,2008,-0.54541945,3.4000001
Albania,ALB2009,8,Albania,2009,-0.49327832,3.2
Albania,ALB2010,8,Albania,2010,-0.48857775,3.3
Albania,ALB2011,8,Albania,2011,-0.6469062,3.0529461
Albania,ALB2012,8,Albania,2012,-0.72284818,3.3
Albania,ALB2013,8,Albania,2013,,3.0999999
Albania,ALB2014,8,Albania,2014,,
Algeria,DZA1960,12,Algeria,1960,,
Algeria,DZA1961,12,Algeria,1961,,
Algeria,DZA1962,12,Algeria,1962,,
Algeria,DZA1963,12,Algeria,1963,,
Algeria,DZA1964,12,Algeria,1964,,
Algeria,DZA1965,12,Algeria,1965,,
Algeria,DZA1966,12,Algeria,1966,,
Algeria,DZA1967,12,Algeria,1967,,
Algeria,DZA1968,12,Algeria,1968,,
Algeria,DZA1969,12,Algeria,1969,,
Algeria,DZA1970,12,Algeria,1970,,
Algeria,DZA1971,12,Algeria,1971,,
Algeria,DZA1972,12,Algeria,1972,,
Algeria,DZA1973,12,Algeria,1973,,
Algeria,DZA1974,12,Algeria,1974,,
Algeria,DZA1975,12,Algeria,1975,,
Algeria,DZA1976,12,Algeria,1976,,
Algeria,DZA1977,12,Algeria,1977,,
Algeria,DZA1978,12,Algeria,1978,,
Algeria,DZA1979,12,Algeria,1979,,
Algeria,DZA1980,12,Algeria,1980,,
Algeria,DZA1981,12,Algeria,1981,,
Algeria,DZA1982,12,Algeria,1982,,
Algeria,DZA1983,12,Algeria,1983,,
Algeria,DZA1984,12,Algeria,1984,,
Algeria,DZA1985,12,Algeria,1985,,
Algeria,DZA1986,12,Algeria,1986,,
Algeria,DZA1987,12,Algeria,1987,,
Algeria,DZA1988,12,Algeria,1988,,
Algeria,DZA1989,12,Algeria,1989,,
Algeria,DZA1990,12,Algeria,1990,,
Algeria,DZA1991,12,Algeria,1991,,
Algeria,DZA1992,12,Algeria,1992,,
Algeria,DZA1993,12,Algeria,1993,,
Algeria,DZA1994,12,Algeria,1994,,
Algeria,DZA1995,12,Algeria,1995,,
Algeria,DZA1996,12,Algeria,1996,-0.47999078,
Algeria,DZA1997,12,Algeria,1997,,
Algeria,DZA1998,12,Algeria,1998,-0.9697035,
Algeria,DZA1999,12,Algeria,1999,,
Algeria,DZA2000,12,Algeria,2000,-0.94872332,
Algeria,DZA2001,12,Algeria,2001,,
Algeria,DZA2002,12,Algeria,2002,-0.93656957,
Algeria,DZA2003,12,Algeria,2003,-0.66810143,2.5999999
Algeria,DZA2004,12,Algeria,2004,-0.62548798,2.7
Algeria,DZA2005,12,Algeria,2005,-0.4221752,2.8
Algeria,DZA2006,12,Algeria,2006,-0.48602429,3.0999999
Algeria,DZA2007,12,Algeria,2007,-0.51552171,3
Algeria,DZA2008,12,Algeria,2008,-0.56176227,3.2
Algeria,DZA2009,12,Algeria,2009,-0.54650897,2.8
Algeria,DZA2010,12,Algeria,2010,-0.48780516,2.9000001
Algeria,DZA2011,12,Algeria,2011,-0.55955231,2.904377
Algeria,DZA2012,12,Algeria,2012,-0.53636646,3.4000001
Algeria,DZA2013,12,Algeria,2013,,3.5999999
Algeria,DZA2014,12,Algeria,2014,,
Andorra,AND1960,20,Andorra,1960,,
Andorra,AND1961,20,Andorra,1961,,
Andorra,AND1962,20,Andorra,1962,,
Andorra,AND1963,20,Andorra,1963,,
Andorra,AND1964,20,Andorra,1964,,
Andorra,AND1965,20,Andorra,1965,,
Andorra,AND1966,20,Andorra,1966,,
Andorra,AND1967,20,Andorra,1967,,
Andorra,AND1968,20,Andorra,1968,,
Andorra,AND1969,20,Andorra,1969,,
Andorra,AND1970,20,Andorra,1970,,
Andorra,AND1971,20,Andorra,1971,,
Andorra,AND1972,20,Andorra,1972,,
Andorra,AND1973,20,Andorra,1973,,
Andorra,AND1974,20,Andorra,1974,,
Andorra,AND1975,20,Andorra,1975,,
Andorra,AND1976,20,Andorra,1976,,
Andorra,AND1977,20,Andorra,1977,,
Andorra,AND1978,20,Andorra,1978,,
Andorra,AND1979,20,Andorra,1979,,
Andorra,AND1980,20,Andorra,1980,,
Andorra,AND1981,20,Andorra,1981,,
Andorra,AND1982,20,Andorra,1982,,
Andorra,AND1983,20,Andorra,1983,,
